id,class
533,1
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,1
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,0
583,0
584,1
585,1
586,1
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,0
599,0
600,1
601,0
602,1
603,1
604,1
605,0
606,1
607,0
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,1
629,1
630,0
631,0
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,1
640,1
641,0
642,0
643,1
644,1
645,0
646,0
647,1
648,0
649,0
650,1
651,0
652,0
653,0
654,0
655,0
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,0
706,0
707,1
708,0
709,0
710,0
711,1
712,0
713,1
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,0
728,0
729,0
730,1
731,0
732,1
733,1
734,0
735,1
736,1
737,1
738,1
739,0
740,1
741,0
742,1
743,1
744,0
745,1
746,1
747,0
748,0
749,1
750,1
751,1
752,1
753,1
754,1
755,0
756,1
757,0
758,0
759,1
760,0
761,0
762,1
763,0
764,0
765,1
766,0
767,0
768,1
769,0
770,0
771,1
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,1
781,1
782,0
783,0
784,0
785,0
786,1
787,1
788,1
789,1
790,0
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,1
804,0
805,0
806,1
807,1
808,1
809,1
810,0
811,1
812,0
813,0
814,0
815,0
816,1
817,1
818,1
819,1
820,0
821,1
822,1
823,1
824,0
825,0
826,0
827,0
828,1
829,0
830,1
831,1
832,0
833,0
834,0
835,0
836,1
837,1
838,1
839,0
840,1
841,0
842,1
843,1
844,0
845,1
846,1
847,0
848,0
849,1
850,1
851,1
852,0
853,0
854,0
855,1
856,1
857,1
858,1
859,1
860,1
861,0
862,0
863,0
864,0
865,1
866,0
867,0
868,1
869,1
870,1
871,1
872,1
873,0
874,0
875,1
876,1
877,1
878,1
879,0
880,0
881,1
882,0
883,1
884,0
885,0
886,0
887,0
888,0
889,0
890,1
891,0
892,0
893,1
894,0
895,1
896,0
897,0
898,1
899,0
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,0
909,0
910,1
911,0
912,1
913,0
914,1
915,0
916,0
917,1
918,0
919,0
920,0
921,1
922,0
923,1
924,1
925,1
926,1
927,0
928,1
929,0
930,1
931,0
932,0
933,1
934,0
935,0
936,1
937,1
938,1
939,0
940,1
941,0
942,1
943,1
944,0
945,0
946,1
947,1
948,1
949,0
950,1
951,0
952,1
953,0
954,1
955,0
956,1
957,1
958,1
959,0
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,0
973,1
974,0
975,0
976,1
977,0
978,1
979,1
980,1
981,1
982,0
983,1
984,0
985,0
986,0
987,0
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,0
997,0
998,0
999,0
